ligand,pocket,best_score_kcal_mol,log_file
fda_1013,TcS6_pocket11,-4.605,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1013__TcS6_pocket11_log.txt
fda_1013,TcS6_pocket2,-5.248,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1013__TcS6_pocket2_log.txt
fda_1014,Human_pocket12,-4.417,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1014__Human_pocket12_log.txt
fda_1014,Human_pocket5,-6.228,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1014__Human_pocket5_log.txt
fda_1014,Human_pocket9,-4.391,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1014__Human_pocket9_log.txt
fda_1014,TcS6_pocket11,-4.635,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1014__TcS6_pocket11_log.txt
fda_1014,TcS6_pocket2,-4.879,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1014__TcS6_pocket2_log.txt
fda_1015,Human_pocket12,-4.856,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1015__Human_pocket12_log.txt
fda_1015,Human_pocket5,-5.083,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1015__Human_pocket5_log.txt
fda_1015,Human_pocket9,-4.824,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1015__Human_pocket9_log.txt
fda_1015,TcS6_pocket11,-5.121,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1015__TcS6_pocket11_log.txt
fda_1015,TcS6_pocket2,-4.095,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1015__TcS6_pocket2_log.txt
fda_1016,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1016__Human_pocket12_log.txt
fda_1016,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1016__Human_pocket5_log.txt
fda_1016,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1016__Human_pocket9_log.txt
